"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0439139597";"Harry Potter and the Goblet of Fire";"J. K. Rowling";"2000";"Scholastic";"http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg"
"0439064872";"Harry Potter and the Chamber of Secrets";"J. K. Rowling";"2000";"Scholastic";"http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg"
"0439136350";"Harry Potter and the Prisoner of Azkaban";"J. K. Rowling";"1999";"Scholastic";"http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg"
"059035342X";"Harry Potter and the Sorcerer's Stone";"J. K. Rowling";"1998";"Scholastic";"http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg"
"0345339703";"The Fellowship of the Ring";"J.R.R. Tolkien";"1986";"Del Rey";"http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg"
"0345339711";"The Two Towers";"J.R.R. Tolkien";"1986";"Del Rey";"http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg"
"0345339738";"The Return of the King";"J.R.R. Tolkien";"1986";"Del Rey";"http://images.amazon.com/images/P/0345339738.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0345339738.01.LZZZZZZZ.jpg"
"0618002219";"The Hobbit";"J.R.R. Tolkien";"1999";"Houghton Mifflin";"http://images.amazon.com/images/P/0618002219.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0618002219.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0618002219.01.LZZZZZZZ.jpg"
"0385504209";"The Da Vinci Code";"Dan Brown";"2003";"Doubleday";"http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg"
"0671027360";"Angels & Demons";"Dan Brown";"2001";"Pocket";"http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg"
"0446310786";"To Kill a Mockingbird";"Harper Lee";"1988";"Grand Central Publishing";"http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg"
"0451524934";"1984";"George Orwell";"1990";"Signet Classics";"http://images.amazon.com/images/P/0451524934.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451524934.01.LZZZZZZZ.jpg"
"0451526341";"Animal Farm";"George Orwell";"1996";"Signet Classics";"http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg"
"0743273567";"The Great Gatsby";"F. Scott Fitzgerald";"2004";"Scribner";"http://images.amazon.com/images/P/0743273567.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0743273567.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0743273567.01.LZZZZZZZ.jpg"
"0316769487";"The Catcher in the Rye";"J.D. Salinger";"1991";"Little, Brown and Company";"http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg"
"0141439513";"Pride and Prejudice";"Jane Austen";"2002";"Penguin Classics";"http://images.amazon.com/images/P/0141439513.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0141439513.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0141439513.01.LZZZZZZZ.jpg"
"0679783261";"Sense and Sensibility";"Jane Austen";"1995";"Everyman's Library";"http://images.amazon.com/images/P/0679783261.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0679783261.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0679783261.01.LZZZZZZZ.jpg"
"0307277674";"The Road";"Cormac McCarthy";"2006";"Vintage";"http://images.amazon.com/images/P/0307277674.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0307277674.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0307277674.01.LZZZZZZZ.jpg"
"0385121679";"The Shining";"Stephen King";"1977";"Doubleday";"http://images.amazon.com/images/P/0385121679.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385121679.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385121679.01.LZZZZZZZ.jpg"
"0451169528";"It";"Stephen King";"1987";"Signet";"http://images.amazon.com/images/P/0451169528.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0451169528.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0451169528.01.LZZZZZZZ.jpg"
"0385199570";"The Stand";"Stephen King";"1990";"Doubleday";"http://images.amazon.com/images/P/0385199570.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0385199570.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0385199570.01.LZZZZZZZ.jpg"
"0553103547";"A Game of Thrones";"George R.R. Martin";"1996";"Bantam";"http://images.amazon.com/images/P/0553103547.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553103547.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553103547.01.LZZZZZZZ.jpg"
"0553108034";"A Clash of Kings";"George R.R. Martin";"1999";"Bantam";"http://images.amazon.com/images/P/0553108034.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553108034.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553108034.01.LZZZZZZZ.jpg"
"0553106635";"A Storm of Swords";"George R.R. Martin";"2000";"Bantam";"http://images.amazon.com/images/P/0553106635.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0553106635.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0553106635.01.LZZZZZZZ.jpg"
"0060935464";"To Kill a Mockingbird";"Harper Lee";"2002";"Perennial Classics";"http://images.amazon.com/images/P/0060935464.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0060935464.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0060935464.01.LZZZZZZZ.jpg"
"038549081X";"The Handmaid's Tale";"Margaret Atwood";"1998";"Anchor";"http://images.amazon.com/images/P/038549081X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/038549081X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg"
"0061122416";"The Alchemist";"Paulo Coelho";"1993";"HarperOne";"http://images.amazon.com/images/P/0061122416.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0061122416.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0061122416.01.LZZZZZZZ.jpg"
"0140283331";"The Kite Runner";"Khaled Hosseini";"2003";"Riverhead Books";"http://images.amazon.com/images/P/0140283331.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0140283331.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0140283331.01.LZZZZZZZ.jpg"
"1594489505";"A Thousand Splendid Suns";"Khaled Hosseini";"2007";"Riverhead Books";"http://images.amazon.com/images/P/1594489505.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/1594489505.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/1594489505.01.LZZZZZZZ.jpg"
"0375831002";"The Book Thief";"Markus Zusak";"2005";"Knopf Books for Young Readers";"http://images.amazon.com/images/P/0375831002.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0375831002.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0375831002.01.LZZZZZZZ.jpg"
